month,brand,share
2013-01-01,BLU,0.5779622509578106
2013-01-01,FINITI,0.20208944525634867
2013-01-01,21ST CENTURY SMOKE,0.08317581717644483
2013-01-01,NJOY,0.05933789473705564
2013-01-01,MISTIC,0.04492070473967358
2013-01-01,Other,0.03251388713266668
2013-02-01,BLU,0.594621419176288
2013-02-01,FINITI,0.1811605195031243
2013-02-01,21ST CENTURY SMOKE,0.08532564164153969
2013-02-01,NJOY,0.07826312576456523
2013-02-01,NICOTEK,0.039974900769638604
2013-02-01,Other,0.02065439314484428
2013-03-01,BLU,0.5948501137453766
2013-03-01,FINITI,0.16804098719607005
2013-03-01,21ST CENTURY SMOKE,0.08898201869408735
2013-03-01,NICOTEK,0.06953554975020201
2013-03-01,NJOY,0.06796416008158222
2013-03-01,Other,0.010627170532681729
2013-04-01,BLU,0.5875909825609383
2013-04-01,FINITI,0.1491458292438391
2013-04-01,21ST CENTURY SMOKE,0.09364447553404749
2013-04-01,NJOY,0.0808100695540777
2013-04-01,NICOTEK,0.07234875366853741
2013-04-01,Other,0.01645988943855994
2013-05-01,BLU,0.5739943967000963
2013-05-01,FINITI,0.12908291980196854
2013-05-01,NJOY,0.09618655265545625
2013-05-01,21ST CENTURY SMOKE,0.0916182155521167
2013-05-01,NICOTEK,0.07045445277697275
2013-05-01,Other,0.03866346251338948
2013-06-01,BLU,0.5506562575588314
2013-06-01,FINITI,0.12486400781420424
2013-06-01,NJOY,0.10194667696973178
2013-06-01,21ST CENTURY SMOKE,0.100646201569264
2013-06-01,NICOTEK,0.07328899250977575
2013-06-01,Other,0.04859786357819274
2013-07-01,BLU,0.5518054605228085
2013-07-01,FINITI,0.1096507579795787
2013-07-01,NJOY,0.09132154640923243
2013-07-01,21ST CENTURY SMOKE,0.09088873905007412
2013-07-01,NICOTEK,0.08973666913609735
2013-07-01,Other,0.06659682690220879
2013-08-01,BLU,0.5745006952067602
2013-08-01,Other,0.08755040747279474
2013-08-01,FINITI,0.08718926858363427
2013-08-01,21ST CENTURY SMOKE,0.08700711657074375
2013-08-01,NICOTEK,0.08376898352853447
2013-08-01,NJOY,0.07998352863753255
2013-09-01,BLU,0.5685877703425959
2013-09-01,Other,0.09988486105284074
2013-09-01,FINITI,0.09309105139401797
2013-09-01,21ST CENTURY SMOKE,0.09190366683889749
2013-09-01,NJOY,0.07797056306053055
2013-09-01,NICOTEK,0.06856208731111736
2013-10-01,BLU,0.5392089473513836
2013-10-01,Other,0.11296792885145399
2013-10-01,FINITI,0.10310615738292647
2013-10-01,21ST CENTURY SMOKE,0.09884640315663853
2013-10-01,NJOY,0.07980078422337289
2013-10-01,NICOTEK,0.0660697790342245
2013-11-01,BLU,0.5122357860551221
2013-11-01,FINITI,0.11796836318457934
2013-11-01,Other,0.11505719061458775
2013-11-01,21ST CENTURY SMOKE,0.09866798072979492
2013-11-01,NJOY,0.0957578666210529
2013-11-01,NICOTEK,0.06031281279486308
2013-12-01,BLU,0.4915460232159834
2013-12-01,FINITI,0.13310696301292388
2013-12-01,Other,0.11699149684389885
2013-12-01,NJOY,0.10770712818810586
2013-12-01,21ST CENTURY SMOKE,0.09487864748368789
2013-12-01,LOGIC,0.05576974125540006
2014-01-01,BLU,0.4760925781936326
2014-01-01,FINITI,0.13631863051198356
2014-01-01,NJOY,0.1223103626293106
2014-01-01,Other,0.12053090637750287
2014-01-01,21ST CENTURY SMOKE,0.09144460518865782
2014-01-01,LOGIC,0.05330291709891259
2014-02-01,BLU,0.4631439995792689
2014-02-01,FINITI,0.13538430633183737
2014-02-01,NJOY,0.12830445626508094
2014-02-01,Other,0.12337914909170881
2014-02-01,21ST CENTURY SMOKE,0.09418137030811247
2014-02-01,LOGIC,0.05560671842399153
2014-03-01,BLU,0.43691794705793036
2014-03-01,FINITI,0.16910448994255972
2014-03-01,Other,0.12358406511029416
2014-03-01,NJOY,0.11867278140129926
2014-03-01,21ST CENTURY SMOKE,0.09295898713129386
2014-03-01,LOGIC,0.058761729356622626
2014-04-01,BLU,0.41944465813655313
2014-04-01,FINITI,0.17620245801879642
2014-04-01,Other,0.13258307637125663
2014-04-01,21ST CENTURY SMOKE,0.10504990372318398
2014-04-01,NJOY,0.1001714427244777
2014-04-01,LOGIC,0.06654846102573216
2014-05-01,BLU,0.4087060968464225
2014-05-01,FINITI,0.18342740037037383
2014-05-01,Other,0.14186957194905297
2014-05-01,21ST CENTURY SMOKE,0.1044541315313258
2014-05-01,NJOY,0.08769746060682708
2014-05-01,LOGIC,0.07384533869599785
2014-06-01,BLU,0.3639301811911408
2014-06-01,FINITI,0.2325482028464034
2014-06-01,Other,0.1583694889977686
2014-06-01,21ST CENTURY SMOKE,0.0935627767734341
2014-06-01,LOGIC,0.07847487798396599
2014-06-01,NJOY,0.0731144722072871
2014-07-01,BLU,0.3714230837117486
2014-07-01,Other,0.19685816415188037
2014-07-01,FINITI,0.16876655706256685
2014-07-01,21ST CENTURY SMOKE,0.09539516066463473
2014-07-01,LOGIC,0.09303738796453065
2014-07-01,NJOY,0.07451964644463882
2014-08-01,BLU,0.3365863246186275
2014-08-01,Other,0.20758956788003785
2014-08-01,FINITI,0.16033884999658785
2014-08-01,MISTIC,0.10305170002887329
2014-08-01,LOGIC,0.10165572466288576
2014-08-01,21ST CENTURY SMOKE,0.09077783281298778
2014-09-01,BLU,0.27886313017324144
2014-09-01,Other,0.19876398629178643
2014-09-01,MISTIC,0.1959465837719217
2014-09-01,FINITI,0.13038233111651137
2014-09-01,LOGIC,0.10439262863086485
2014-09-01,NJOY,0.09165134001567413
2014-10-01,BLU,0.24080884512986747
2014-10-01,FINITI,0.1938738244756026
2014-10-01,Other,0.1863719047899563
2014-10-01,MISTIC,0.18326244152763213
2014-10-01,LOGIC,0.10285969564708555
2014-10-01,NJOY,0.09282328842985596
2014-11-01,BLU,0.22442703831682634
2014-11-01,FINITI,0.20110474368681455
2014-11-01,MISTIC,0.19142241805090635
2014-11-01,Other,0.1811366187955673
2014-11-01,LOGIC,0.10929926816525722
2014-11-01,NJOY,0.09260991298462823
2014-12-01,MISTIC,0.22003263150382565
2014-12-01,BLU,0.21304732281581873
2014-12-01,Other,0.20684620717722205
2014-12-01,FINITI,0.15502244541029153
2014-12-01,LOGIC,0.10507635886584288
2014-12-01,NICOTEK,0.09997503422699913
2015-01-01,MISTIC,0.2782836770830332
2015-01-01,BLU,0.21224352625893714
2015-01-01,Other,0.19518332678053152
2015-01-01,FINITI,0.12096034856118881
2015-01-01,LOGIC,0.1039672602277573
2015-01-01,NJOY,0.08936186108855204
2015-02-01,MISTIC,0.2701307648629418
2015-02-01,BLU,0.2059388516897356
2015-02-01,Other,0.19954480877477157
2015-02-01,FINITI,0.11532992979541501
2015-02-01,LOGIC,0.10684350400528562
2015-02-01,NJOY,0.1022121408718504
2015-03-01,MISTIC,0.26205439844214246
2015-03-01,BLU,0.20671201434558228
2015-03-01,Other,0.19389741612135308
2015-03-01,FINITI,0.13224238356488796
2015-03-01,LOGIC,0.10692226657758024
2015-03-01,NJOY,0.09817152094845397
2015-04-01,MISTIC,0.2658073184758525
