"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE",0,0,0.511006975137526,102.237690386277,0,0,52.2441729093383,52.2441729093383,2013-01-01,2023-12-01
"BLU",0.57796225095781,46.2941804763309,0.00921728374880824,51.4994793584681,3.0084662588282,-26.3295821569784,-2.96048754203418,-26.2816034401844,2013-01-01,2023-12-01
"BREEZE",0,0,0.0807060172797389,204,0,0,16.4640275250667,16.4640275250667,2013-01-01,2023-12-01
"JUUL",0,0,0.166210904186229,84.725986758465,0,0,14.082382867195,14.082382867195,2013-01-01,2023-12-01
"NJOY",0.0593378947370557,61.6922539327178,0.130311014619471,98.9355562784331,2.2099391542504,4.37849173418316,2.64327336219948,9.23170425063303,2013-01-01,2023-12-01
"HYPPE",0,0,0.0345376183920419,204.000708311839,0,0,7.04569861538054,7.04569861538054,2013-01-01,2023-12-01
"FINITI",0.202089445256349,28.6494520953192,0,0,-5.78975188084139,-5.78975188084139,5.78975188084139,-5.78975188084139,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0120203605841281,215.917631234293,0,0,2.59540778390699,2.59540778390699,2013-01-01,2023-12-01
"21ST CENTURY SMOKE",0.0831758171764453,28.1245228047741,4.18938514026296e-06,17.408,-0.891355541577094,-2.33916234252674,0.8913106459357,-2.33920723816813,2013-01-01,2023-12-01
"MISTIC",0.0449207047396735,44.7221120407064,0,0,-2.00894879031517,-2.00894879031517,2.00894879031517,-2.00894879031517,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012431411271445,117.282354100004,0,0,1.45798517870039,1.45798517870039,2013-01-01,2023-12-01
"NICOTEK",0.0296561007266071,30.3178626153535,0,0,-0.899109587536358,-0.899109587536358,0.899109587536358,-0.899109587536358,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00409996795117547,211.293275217933,0,0,0.866295656692423,0.866295656692423,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00769105652609463,102,0,0,0.784487765661652,0.784487765661652,2013-01-01,2023-12-01
"LOGIC",0.000992857813931147,16.3199999999999,0.01279222206665,37.3398374709988,0.0208697098806439,0.192565624604371,0.248020718853264,0.461456053338279,2013-01-01,2023-12-01
"BIDI",0,0,0.00303484296292136,105.119161104485,0,0,0.319020146346142,0.319020146346142,2013-01-01,2023-12-01
"PALAX",0,0,0.00279366529712723,102,0,0,0.284953860306977,0.284953860306977,2013-01-01,2023-12-01
"UNKNOWN",0.000486892529153193,12.2399999999999,0.00190443557153501,112.5395470647,0.0488351001432516,0.0173507268387532,0.142178925095613,0.208364752077618,2013-01-01,2023-12-01
"ZEO",0,0,0.0018965477448257,102.093665978875,0,0,0.193625511973224,0.193625511973224,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.00136594555564817,102.000059108668,0,0,0.139326527415335,0.139326527415335,2013-01-01,2023-12-01
"AVATA",0,0,0.000679465902436399,190.675144508671,0,0,0.129557259135775,0.129557259135775,2013-01-01,2023-12-01
"MNGO",0,0,0.00226376044419864,57.1199999999747,0,0,0.129305996572569,0.129305996572569,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000768883091523886,166.016884141886,0,0,0.127647575124176,0.127647575124176,2013-01-01,2023-12-01
"LEAP",0,0,0.00156088962524774,72.5603329956748,0,0,0.11325867097747,0.11325867097747,2013-01-01,2023-12-01
"IGNITE",0,0,0.000747065559223121,107.171068188468,0,0,0.0800638139887575,0.0800638139887575,2013-01-01,2023-12-01
"GREEN SMOKE",0.00100669227751812,46.1326945346263,0,0,-0.0464414273291106,-0.0464414273291106,0.0464414273291106,-0.0464414273291106,2013-01-01,2023-12-01
"STICK",0,0,0.000644798740400698,70.6017055144975,0,0,0.045523890785889,0.045523890785889,2013-01-01,2023-12-01
"GLAS",0,0,0.000586657929751016,73.945720386517,0,0,0.0433808432359016,0.0433808432359016,2013-01-01,2023-12-01
"JUICY",0,0,0.000338685604933134,102,0,0,0.0345459317031796,0.0345459317031796,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.00016521887646912,179.340145694832,0,0,0.0296303773775085,0.0296303773775085,2013-01-01,2023-12-01
